Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Гаврилів;Ольга;Ганнаівна;Жіноча;1969-10-24;Стоматолог;місто Керч;площа Жуковського, буд. 4, Добромиль, 52008;+380 95 421 03 41;irenaarkhymovych@example.net
Дрозд;Клавдія;Надіяівна;Жіноча;1985-10-10;Диригент;місто Миронівка;вулиця Мазараті, буд. 04 кв. 717, Ірміно, 59326;502 76 40;ziatseniuk@example.org
Закусило;Єлисавета;Богуславаівна;Жіноча;1950-12-04;Адвокат;село Судак ;провулок Західний 4-й, буд. 754, Прилуки, 32615;+380 79 833 76 90;mprykhodko@example.com
Андрейко;Тетяна;Ганнаівна;Жіноча;1987-05-03;Інженер;хутір Ананьїв;вулиця Каштанова, буд. 2 кв. 639, Перещепине, 67062;+380 99 059 01 40;milena18@example.com
Яковенко;Аарон;Трохимович;Чоловіча;1987-10-11;Няня;місто Лубни;набережна Довга, буд. 3, Городенка, 58294;+380 40 056-21-90;alinatkachenko@example.org
Єсипенко;Євген;Георгійович;Чоловіча;1968-08-20;Машиніст;хутір Івано-Франківськ;вулиця Штильова, буд. 74 кв. 145, Обухів, 74816;+380 21 367 57 60;veniiamyn15@example.com
Саченко;Павло;Пилипович;Чоловіча;1977-11-22;Флорист;хутір Голубівка;шосе Лінія 53-тя, буд. 09 кв. 95, Зеленодольськ, 73381;+380 16 315 03 29;iustymdubyna@example.com
Вакуленко;Руслан;Романович;Чоловіча;1989-04-03;Бібліограф;хутір Бердянськ;парк Політкаторжан, буд. 75, Луганськ, 94274;064 729-84-36;alevtyniurchuk@example.org
Петрик;Веніямин;Леонтійович;Чоловіча;1967-07-12;Історик;хутір Славутич;площа Олександра Невського 1-й, буд. 36, Апостолове, 99914;051 247-83-89;tmedvedenko@example.net
Штепа;Гордій;Ааронович;Чоловіча;1943-01-02;Паблік рилейшнз;місто Жовті Води;вулиця Восьмого березня узвіз, буд. 0 кв. 46, Мерефа, 56080;+380 53 194-20-39;vhaidabura@example.org
Балабан;Богуслав;Бориславович;Чоловіча;1992-02-20;Інженер;село Чортків;шосе Літня, буд. 4 кв. 5, Глухів, 01879;022 814-16-73;kolisnychenkoliliia@example.com
Царенко;Остап;Ярославович;Чоловіча;1992-09-22;Складальник;селище Новомиргород;вулиця Єфімова, буд. 863, Немирів, 34215;+380 (04) 376-23-06;pylypfranchuk@example.org
Оробець;Ярина;Лізаівна;Жіноча;1981-08-18;Парфюмер;село Мар'їнка;площа Деревообробний 5-й, буд. 598 кв. 9, Ромни, 23582;+380 (42) 449-47-73;sachenkomykhailo@example.com
Вдовенко;Арсен;Павлоович;Чоловіча;1980-09-03;Актор;хутір Новодружеськ;проспект Нечипуренка, буд. 246, Голубівка, 89367;509 43 26;anitaderevianko@example.org
Оніщук;Ганна;Альбінаівна;Жіноча;1969-01-10;Кінолог;село Малин;узвіз Пироговський, буд. 280, Верхньодніпровськ, 04653;094 481 47 44;orobetsalla@example.net
Титаренко;Олена;Василинаівна;Жіноча;1962-07-27;Географ;селище Сіверськ;набережна Лінія 31-ша, буд. 625 кв. 3, Вільнянськ, 60951;+380 (30) 466-01-43;zarubaanton@example.com
Гуцуляк;Галина;Оксанаівна;Жіноча;1971-10-29;Гірничий інженер;селище Рогатин;набережна Друга, буд. 194 кв. 4, Берестечко, 14039;009 501-74-32;havriushenkostepan@example.net
Андрієвич;Вʼячеслав;Опанасович;Чоловіча;2003-09-15;Няня;село Кодима;парк Деревообробна, буд. 316 кв. 25, П'ятихатки, 31029;+380 30 542-84-00;onysym16@example.net
Засядько;Олекса;Теодорович;Чоловіча;1938-11-15;Фізик;місто Нововолинськ;провулок 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 124, Корсунь-Шевченківський, 98262;043 579 54 97;svertyporokh@example.net
Тягнибок;Еріка;Яринаівна;Жіноча;1974-07-12;Астронавт;місто Ірпінь;шосе Отрада, буд. 9 кв. 086, Олешки, 45253;+380 20 040 95 82;stanislav92@example.com
Полтавець;Яків;Петроович;Чоловіча;1980-02-21;Менеджер;село Світловодськ;узвіз Аркадіївський, буд. 4, Новомиргород, 88633;+380 17 758-66-08;tsyrotenko@example.net
Гайдамака;Варвара;Марʼянаівна;Жіноча;2000-07-04;Стропальник;село Кам'янець-Подільський;провулок Василя Кандинського 2-й, буд. 61, Володимир-Волинський, 98764;085-52-71;iaroslav84@example.com
Адамчук;Єва;Богданнаівна;Жіноча;1996-09-12;Перекладач;селище Судак ;шосе Польова, буд. 50 кв. 831, Перещепине, 52333;+380 (50) 189-87-27;parasiukbohdan@example.org
Вакуленко;Олекса;Прохірович;Чоловіча;1980-02-10;Скульптор;селище Іловайськ;проспект Немировича-Данченка, буд. 15, Сорокине, 31613;083 920 73 13;fchaban@example.com
Терещук;Августин;Орестович;Чоловіча;1985-07-11;Геолог;село Золочів;парк Тупиковий, буд. 4, Мерефа, 95750;073 561 53 23;kamilla50@example.com
Журба;Яків;Германович;Чоловіча;1977-09-14;Гірничий інженер;місто Липовець;площа Разумовська, буд. 353 кв. 3, Слов'янськ, 12315;017 953 85 71;tsymbaleduard@example.org
Оберемко;Веніямин;Русланович;Чоловіча;1964-10-12;Мікробіолог;село Первомайськ;проспект Бородінська, буд. 54, Пирятин, 37821;835-45-65;utiahnybok@example.org
Ващенко-Захарченко;Олена;Ліліяівна;Жіноча;1985-12-11;Модель;село Молочанськ;узвіз Вєтрова, буд. 03, Тлумач, 78250;924-65-03;zynoviiadamchuk@example.net
Щербань;Гордій;Єлисейович;Чоловіча;1985-06-10;Реабілітолог;село Конотоп;шосе Кипарисний 1-й, буд. 797 кв. 301, Новоград-Волинський, 62705;+380 80 160 06 13;hrechanykielysei@example.org
Деркач;Дан;Кирилоович;Чоловіча;1944-02-09;Ріелтор;місто Севастополь;сквер Гвоздичний, буд. 86 кв. 883, Городенка, 31222;393-66-70;dupliihryhorii@example.net
Іванченко;Давид;Дмитроович;Чоловіча;1976-08-28;Зоолог;місто Чорноморськ;площа Івана Франка, буд. 371 кв. 8, Бориспіль, 16053;056 442-41-55;ptovstukha@example.org
Гавриленко;Михайло;Опанасович;Чоловіча;1952-07-08;Науковець;хутір Болехів;провулок Шовкуненка, буд. 9 кв. 931, Добромиль, 76644;039 073 77 93;vruban@example.net
Хоменко;Миколай;Демʼянович;Чоловіча;1967-08-11;Бізнесмен;селище Перевальськ;вулиця Мічуріна, буд. 691 кв. 16, Березівка, 84097;+380 46 836 05 23;wshamrai@example.org
Ґерета;Святослава;Христинаівна;Жіноча;1993-06-25;Хімік;хутір Бахмут;набережна Кінна, буд. 4, Балаклія, 52386;+380 (74) 611-32-67;boryslav17@example.net
Конопленко;Маруся;Богданнаівна;Жіноча;2002-12-05;Перекладач;селище Андрушівка;шосе Планетна, буд. 31 кв. 92, Тараща, 12394;507-38-66;sviatoslava05@example.org
Єрошенко;Арсен;Романович;Чоловіча;1994-12-15;Гірник;хутір Сколе;сквер 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 991, Радехів, 61853;079 077 75 67;liza92@example.org
Ісаєнко;Амалія;Світланаівна;Жіноча;1989-02-14;Реабілітолог;селище Зборів;вулиця Лесі Українки, буд. 498, Умань, 74439;+380 79 824 27 40;orestbakumenko@example.net
Зайченко;Оксана;Наталіяівна;Жіноча;1941-07-02;Лікар;село Херсон;вулиця 5-та Лінія Марії Демченко, буд. 64 кв. 6, Вашківці, 73561;+380 (42) 357-65-69;marko95@example.net
Гаврюшенко;Єфрем;Йосипович;Чоловіча;1972-11-07;Продюсер;місто Горішні Плавні;сквер Лазурний 2-й, буд. 97, Жовква, 50405;+380 28 612-36-80;korsunostap@example.net
Чумаченко;Ганна;Орисяівна;Жіноча;2003-02-11;Детектив;село Першотравенськ;сквер Гена Іоганна, буд. 43 кв. 012, Радомишль, 20444;+380 (62) 040-00-32;volodymyrmakarenko@example.com
Ажажа;Надія;Святославаівна;Жіноча;1981-09-21;Географ;хутір Путивль;вулиця Щіпний, буд. 04 кв. 742, Коростишів, 67235;087 587-06-95;ushovkoplias@example.com
